,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
DIR + GSR + EOP - 11,0.6451,0.716,0.1642,0.5762,0.5232,0.1858,0.1859,0.625,0.685,0.3995,0.2851,0.3181,0.3859,828.0,366.0,468.0,189.0,311.0,113.0,124.0,71.0,517.0,253.0,344.0,118.0,0.7613,0.6912,0.7027,0.6989,0.8259
DIR + GSR + EOP - 17,0.638,0.6957,0.1967,0.5016,0.5193,0.2577,0.2166,0.6208,0.6714,0.4013,0.2801,0.3427,0.4343,766.0,415.0,426.0,244.0,311.0,112.0,121.0,86.0,455.0,303.0,305.0,158.0,0.7503,0.6628,0.6857,0.6224,0.8051
DIR + GSR + CEOP - 3,0.6677,0.7119,0.2034,0.3737,0.5476,0.2748,0.2213,0.6788,0.6456,0.3126,0.3262,0.3321,0.4154,760.0,476.0,354.0,261.0,285.0,114.0,138.0,81.0,475.0,362.0,216.0,180.0,0.7224,0.7058,0.6845,0.5604,0.8362
DIR + GSR + CEOP - 11,0.6553,0.7207,0.1663,0.5176,0.5696,0.2094,0.1597,0.6412,0.6834,0.381,0.2961,0.3159,0.3742,823.0,390.0,444.0,194.0,321.0,102.0,135.0,61.0,502.0,288.0,309.0,133.0,0.7661,0.6943,0.7367,0.6583,0.867
DIR + GSR + CEOP - 17,0.658,0.7046,0.2011,0.4079,0.5579,0.2887,0.1965,0.6519,0.6698,0.3626,0.2895,0.3296,0.4309,755.0,463.0,378.0,255.0,319.0,103.0,130.0,78.0,436.0,360.0,248.0,177.0,0.7541,0.6723,0.7127,0.5602,0.8486
DIR + GSR + ROC - 3,0.6542,0.6621,0.2836,0.3028,0.2817,0.3603,0.4317,0.6667,0.6294,0.2946,0.2545,0.3693,0.4661,627.0,584.0,246.0,394.0,208.0,181.0,71.0,158.0,419.0,403.0,175.0,236.0,0.645,0.6709,0.4515,0.4818,0.8575
DIR + GSR + ROC - 11,0.6521,0.6996,0.2088,0.4841,0.3713,0.2346,0.3089,0.6445,0.6672,0.3729,0.25,0.326,0.4419,750.0,457.0,377.0,267.0,264.0,149.0,88.0,118.0,486.0,308.0,289.0,149.0,0.7193,0.6894,0.5687,0.6291,0.8634
DIR + GSR + ROC - 17,0.6559,0.6921,0.2241,0.3947,0.4421,0.2936,0.2872,0.656,0.6556,0.3566,0.2668,0.3285,0.4672,716.0,498.0,343.0,294.0,283.0,130.0,103.0,114.0,433.0,368.0,240.0,180.0,0.7229,0.6734,0.6127,0.5512,0.8514
Logistic Regression - 3,0.6721,0.7108,0.2109,0.3478,0.5198,0.2962,0.2213,0.6796,0.657,0.3036,0.3149,0.3398,0.401,746.0,498.0,332.0,275.0,285.0,121.0,131.0,81.0,461.0,377.0,201.0,194.0,0.7289,0.7001,0.6731,0.5369,0.8498
Logistic Regression - 11,0.6737,0.7217,0.1872,0.3953,0.5654,0.2551,0.1885,0.6769,0.6672,0.3329,0.3018,0.3098,0.4114,783.0,464.0,370.0,234.0,310.0,103.0,134.0,72.0,473.0,361.0,236.0,162.0,0.7506,0.7039,0.7173,0.5755,0.859
