,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
OP + PR - 3,0.78,0.4665,0.1895,0.0834,0.0974,0.6822,0.5981,0.8503,0.7452,0.678,0.3457,0.0849,0.233,1409.0,10021.0,1014.0,2209.0,1238.0,6063.0,654.0,1842.0,171.0,3958.0,360.0,367.0,0.498,0.3199,0.1931,0.1093,0.9708
OP + PR - 11,0.7837,0.46,0.1838,0.0824,0.0994,0.7072,0.5964,0.8533,0.749,0.7106,0.3594,0.0812,0.2253,1350.0,10134.0,1036.0,2133.0,1203.0,6115.0,675.0,1778.0,147.0,4019.0,361.0,355.0,0.4952,0.2911,0.1922,0.1041,0.9576
OP + PR - 17,0.7835,0.4651,0.1792,0.0979,0.1002,0.647,0.5898,0.8417,0.7541,0.6919,0.3657,0.0814,0.2173,1379.0,10102.0,1114.0,2058.0,1188.0,6151.0,685.0,1708.0,191.0,3951.0,429.0,350.0,0.4982,0.329,0.1925,0.126,0.9677
OP + PR + EOP - 3,0.7656,0.3971,0.2112,0.0834,0.0874,0.6822,0.6883,0.8503,0.7237,0.678,0.3794,0.0849,0.257,1131.0,10088.0,947.0,2487.0,960.0,6130.0,587.0,2120.0,171.0,3958.0,360.0,367.0,0.415,0.3199,0.1579,0.1093,0.9063
OP + PR + EOP - 11,0.7713,0.385,0.2061,0.0824,0.0819,0.7072,0.6974,0.8533,0.7303,0.7106,0.3813,0.0812,0.2501,1049.0,10253.0,917.0,2434.0,902.0,6234.0,556.0,2079.0,147.0,4019.0,361.0,355.0,0.4064,0.2911,0.1492,0.1041,0.9105
OP + PR + EOP - 17,0.7712,0.4105,0.1959,0.0979,0.0955,0.647,0.663,0.8417,0.7356,0.6919,0.4009,0.0814,0.2369,1167.0,10134.0,1082.0,2270.0,976.0,6183.0,653.0,1920.0,191.0,3951.0,429.0,350.0,0.4314,0.329,0.1674,0.126,0.9106
OP + PR + CEOP - 3,0.78,0.4665,0.1895,0.0834,0.0974,0.6822,0.5981,0.8503,0.7452,0.678,0.3457,0.0849,0.233,1409.0,10021.0,1014.0,2209.0,1238.0,6063.0,654.0,1842.0,171.0,3958.0,360.0,367.0,0.498,0.3199,0.1931,0.1093,0.9708
OP + PR + CEOP - 11,0.7837,0.46,0.1838,0.0824,0.0994,0.7072,0.5964,0.8533,0.749,0.7106,0.3594,0.0812,0.2253,1350.0,10134.0,1036.0,2133.0,1203.0,6115.0,675.0,1778.0,147.0,4019.0,361.0,355.0,0.4952,0.2911,0.1922,0.1041,0.9576
OP + PR + CEOP - 17,0.7835,0.4651,0.1792,0.0979,0.1002,0.647,0.5898,0.8417,0.7541,0.6919,0.3657,0.0814,0.2173,1379.0,10102.0,1114.0,2058.0,1188.0,6151.0,685.0,1708.0,191.0,3951.0,429.0,350.0,0.4982,0.329,0.1925,0.126,0.9677
OP + PR + ROC - 3,0.6622,0.5299,0.1156,0.3909,0.3624,0.2416,0.2266,0.6256,0.6803,0.8053,0.5054,0.0471,0.1401,2790.0,6913.0,4122.0,828.0,2382.0,4283.0,2434.0,698.0,408.0,2630.0,1688.0,130.0,0.6033,0.3098,0.4916,0.4316,0.9161
OP + PR + ROC - 11,0.7115,0.5328,0.1285,0.3194,0.2585,0.2729,0.314,0.6854,0.7246,0.7931,0.4618,0.0439,0.1568,2410.0,8016.0,3154.0,1073.0,2045.0,5035.0,1755.0,936.0,365.0,2981.0,1399.0,137.0,0.6032,0.3222,0.3889,0.3613,0.9142
OP + PR + ROC - 17,0.7216,0.5246,0.1349,0.2893,0.2379,0.3216,0.3494,0.7072,0.7289,0.7754,0.4632,0.0529,0.1626,2251.0,8323.0,2893.0,1186.0,1884.0,5210.0,1626.0,1012.0,367.0,3113.0,1267.0,174.0,0.5882,0.3375,0.3607,0.332,0.9262
OP + EGR - 3,0.7779,0.4603,0.1915,0.1132,0.0798,0.5372,0.6302,0.8398,0.7472,0.6626,0.32,0.0702,0.239,1388.0,10010.0,1025.0,2230.0,1139.0,6181.0,536.0,1941.0,249.0,3829.0,489.0,289.0,0.4791,0.3903,0.171,0.152,0.9513
OP + EGR - 11,0.7792,0.4418,0.1894,0.1151,0.0778,0.5279,0.6501,0.8425,0.7476,0.6802,0.3361,0.064,0.2363,1280.0,10138.0,1032.0,2203.0,1043.0,6262.0,528.0,1938.0,237.0,3876.0,504.0,265.0,0.4583,0.3813,0.1608,0.1518,0.9587
OP + EGR - 17,0.7848,0.4366,0.1884,0.1066,0.069,0.5712,0.6581,0.8423,0.7557,0.6681,0.3228,0.0732,0.2305,1222.0,10277.0,939.0,2215.0,990.0,6364.0,472.0,1906.0,232.0,3913.0,467.0,309.0,0.4543,0.3742,0.1502,0.142,0.9692
OP + EGR + EOP - 3,0.7781,0.4518,0.1944,0.0908,0.0866,0.6487,0.6263,0.8474,0.7437,0.6747,0.3358,0.0816,0.2392,1340.0,10061.0,974.0,2278.0,1151.0,6135.0,582.0,1929.0,189.0,3926.0,392.0,349.0,0.4783,0.3378,0.1769,0.1196,0.9292
OP + EGR + EOP - 11,0.7824,0.4369,0.1911,0.0881,0.082,0.6295,0.6474,0.8562,0.7455,0.6748,0.3464,0.0733,0.2364,1237.0,10227.0,943.0,2246.0,1051.0,6233.0,557.0,1930.0,186.0,3994.0,386.0,316.0,0.4581,0.3464,0.1646,0.1172,0.9423
OP + EGR + EOP - 17,0.7825,0.4342,0.1891,0.0897,0.0848,0.6433,0.6443,0.8494,0.7487,0.6706,0.3602,0.0803,0.2297,1223.0,10243.0,973.0,2214.0,1030.0,6256.0,580.0,1866.0,193.0,3987.0,393.0,348.0,0.4572,0.3425,0.1654,0.1191,0.9321
OP + EGR + CEOP - 3,0.796,0.4673,0.1901,0.0,0.1015,1.0,0.5744,0.8892,0.7498,0.0,0.3422,0.1108,0.2267,1311.0,10353.0,682.0,2307.0,1311.0,6035.0,682.0,1769.0,0.0,4318.0,0.0,538.0,0.5169,0.0,0.2034,0.0,0.987
OP + EGR + CEOP - 11,0.7966,0.3793,0.2051,0.0,0.0602,1.0,0.6944,0.8972,0.7463,0.0,0.3098,0.1028,0.2449,911.0,10761.0,409.0,2572.0,911.0,6381.0,409.0,2070.0,0.0,4380.0,0.0,502.0,0.4236,0.0,0.1351,0.0,0.9854
OP + EGR + CEOP - 17,0.8001,0.3861,0.2005,0.0,0.0604,1.0,0.682,0.8901,0.7546,0.0,0.3096,0.1099,0.2352,921.0,10803.0,413.0,2516.0,921.0,6423.0,413.0,1975.0,0.0,4380.0,0.0,541.0,0.4355,0.0,0.1371,0.0,0.9923
OP + EGR + ROC - 3,0.7739,0.4883,0.1807,0.1376,0.1015,0.4981,0.5744,0.8225,0.7498,0.6875,0.3422,0.0671,0.2267,1581.0,9759.0,1276.0,2037.0,1311.0,6035.0,682.0,1769.0,270.0,3724.0,594.0,268.0,0.5169,0.3852,0.2034,0.1779,0.9804
OP + EGR + ROC - 11,0.7803,0.415,0.1975,0.1071,0.0602,0.5398,0.6944,0.8484,0.7463,0.67,0.3098,0.0648,0.2449,1142.0,10292.0,878.0,2341.0,911.0,6381.0,409.0,2070.0,231.0,3911.0,469.0,271.0,0.4236,0.3844,0.1351,0.1434,0.9756
OP + EGR + ROC - 17,0.7827,0.4228,0.1925,0.1142,0.0604,0.5471,0.682,0.8382,0.7546,0.6711,0.3096,0.0709,0.2352,1166.0,10303.0,913.0,2271.0,921.0,6423.0,413.0,1975.0,245.0,3880.0,500.0,296.0,0.4355,0.381,0.1371,0.1514,0.9809
OP + GSR - 3,0.7878,0.4844,0.184,0.0628,0.1015,0.7212,0.5744,0.8643,0.7498,0.6437,0.3422,0.0875,0.2267,1461.0,10082.0,953.0,2157.0,1311.0,6035.0,682.0,1769.0,150.0,4047.0,271.0,388.0,0.5169,0.3128,0.2034,0.0867,0.9842
OP + GSR - 11,0.7898,0.4764,0.1788,0.068,0.1031,0.7371,0.5743,0.8632,0.7531,0.693,0.3555,0.0831,0.2194,1401.0,10172.0,998.0,2082.0,1269.0,6090.0,700.0,1712.0,132.0,4082.0,298.0,370.0,0.5127,0.2833,0.2015,0.0881,0.9687
OP + GSR - 17,0.7934,0.4929,0.1707,0.0703,0.1102,0.7135,0.5456,0.859,0.7603,0.6652,0.3639,0.0866,0.2062,1471.0,10155.0,1061.0,1966.0,1316.0,6083.0,753.0,1580.0,155.0,4072.0,308.0,386.0,0.5301,0.3088,0.2126,0.0941,0.9834
OP + GSR + EOP - 3,0.7727,0.3717,0.2177,0.0628,0.0634,0.7212,0.7289,0.8643,0.7274,0.6437,0.3378,0.0875,0.263,985.0,10338.0,697.0,2633.0,835.0,6291.0,426.0,2245.0,150.0,4047.0,271.0,388.0,0.3847,0.3128,0.1287,0.0867,0.9211
OP + GSR + EOP - 11,0.7737,0.3698,0.2099,0.076,0.0697,0.7331,0.7186,0.8564,0.7324,0.7131,0.3605,0.0834,0.2532,973.0,10364.0,806.0,2510.0,839.0,6317.0,473.0,2142.0,134.0,4047.0,333.0,368.0,0.3909,0.2766,0.1343,0.0957,0.9175
OP + GSR + EOP - 17,0.7772,0.3682,0.2073,0.0719,0.0677,0.7135,0.7251,0.8575,0.7366,0.6702,0.3678,0.0867,0.2478,951.0,10438.0,778.0,2486.0,796.0,6373.0,463.0,2100.0,155.0,4065.0,315.0,386.0,0.3832,0.3066,0.1294,0.0955,0.9196
OP + GSR + CEOP - 3,0.7878,0.4844,0.184,0.0628,0.1015,0.7212,0.5744,0.8643,0.7498,0.6437,0.3422,0.0875,0.2267,1461.0,10082.0,953.0,2157.0,1311.0,6035.0,682.0,1769.0,150.0,4047.0,271.0,388.0,0.5169,0.3128,0.2034,0.0867,0.9842
OP + GSR + CEOP - 11,0.7898,0.4764,0.1788,0.068,0.1031,0.7371,0.5743,0.8632,0.7531,0.693,0.3555,0.0831,0.2194,1401.0,10172.0,998.0,2082.0,1269.0,6090.0,700.0,1712.0,132.0,4082.0,298.0,370.0,0.5127,0.2833,0.2015,0.0881,0.9687
OP + GSR + CEOP - 17,0.7934,0.4929,0.1707,0.0703,0.1102,0.7135,0.5456,0.859,0.7603,0.6652,0.3639,0.0866,0.2062,1471.0,10155.0,1061.0,1966.0,1316.0,6083.0,753.0,1580.0,155.0,4072.0,308.0,386.0,0.5301,0.3088,0.2126,0.0941,0.9834
OP + GSR + ROC - 3,0.7071,0.539,0.1314,0.321,0.2675,0.2918,0.3091,0.6822,0.7194,0.7844,0.4578,0.0508,0.1621,2509.0,7852.0,3183.0,1109.0,2128.0,4920.0,1797.0,952.0,381.0,2932.0,1386.0,157.0,0.6076,0.3306,0.4006,0.3639,0.9629
OP + GSR + ROC - 11,0.6747,0.5277,0.1143,0.3895,0.3299,0.2151,0.2388,0.6284,0.6979,0.8124,0.4968,0.0388,0.1353,2663.0,7224.0,3946.0,820.0,2269.0,4550.0,2240.0,712.0,394.0,2674.0,1706.0,108.0,0.6059,0.3028,0.4615,0.4302,0.9432
OP + GSR + ROC - 17,0.6728,0.526,0.1115,0.3925,0.3362,0.2144,0.2282,0.6271,0.696,0.8018,0.5069,0.0418,0.1271,2660.0,7199.0,4017.0,777.0,2235.0,4538.0,2298.0,661.0,425.0,2661.0,1719.0,116.0,0.6017,0.3166,0.4658,0.4357,0.9575
DIR - 3,0.8488,0.6774,0.1133,0.0289,0.123,0.4589,0.3322,0.9232,0.8121,0.2987,0.2904,0.0559,0.1457,2154.0,9361.0,886.0,1166.0,1884.0,5496.0,771.0,937.0,270.0,3865.0,115.0,229.0,0.6881,0.6109,0.2921,0.086,0.9469
DIR - 11,0.8471,0.6654,0.1232,0.0201,0.1078,0.4717,0.376,0.9278,0.8078,0.2257,0.2733,0.0591,0.1622,2063.0,9429.0,753.0,1322.0,1792.0,5578.0,674.0,1080.0,271.0,3851.0,79.0,242.0,0.6714,0.628,0.2703,0.0788,0.9446
DIR - 17,0.8403,0.6267,0.1394,0.0172,0.0854,0.5547,0.4448,0.9197,0.8028,0.2245,0.2542,0.0699,0.18,1818.0,9583.0,608.0,1558.0,1590.0,5804.0,542.0,1274.0,228.0,3779.0,66.0,284.0,0.6365,0.5658,0.2315,0.0675,0.9452
DIR + EOP - 3,0.8262,0.6386,0.1241,0.0962,0.1178,0.4168,0.3648,0.8681,0.8056,0.5682,0.2917,0.0547,0.1569,2083.0,9126.0,1121.0,1237.0,1792.0,5529.0,738.0,1029.0,291.0,3597.0,383.0,208.0,0.6698,0.4962,0.2784,0.1505,0.9061
DIR + EOP - 11,0.822,0.6167,0.1382,0.0865,0.1012,0.4425,0.4231,0.8724,0.7975,0.5431,0.2764,0.0595,0.1778,1943.0,9209.0,973.0,1442.0,1657.0,5619.0,633.0,1215.0,286.0,3590.0,340.0,227.0,0.642,0.5022,0.251,0.1409,0.9027
DIR + EOP - 17,0.8169,0.5803,0.1533,0.085,0.0785,0.5215,0.486,0.8637,0.7948,0.5717,0.2528,0.0705,0.1923,1717.0,9366.0,825.0,1659.0,1472.0,5848.0,498.0,1392.0,245.0,3518.0,327.0,267.0,0.609,0.452,0.2139,0.1313,0.9054
DIR + CEOP - 3,0.8373,0.6306,0.1331,0.0,0.123,1.0,0.3322,0.8886,0.8121,0.0,0.2904,0.1114,0.1457,1884.0,9476.0,771.0,1436.0,1884.0,5496.0,771.0,937.0,0.0,3980.0,0.0,499.0,0.6881,0.0,0.2921,0.0,0.955
DIR + CEOP - 11,0.8329,0.6125,0.144,0.0,0.1078,1.0,0.376,0.8845,0.8078,0.0,0.2733,0.1155,0.1622,1792.0,9508.0,674.0,1593.0,1792.0,5578.0,674.0,1080.0,0.0,3930.0,0.0,513.0,0.6714,0.0,0.2703,0.0,0.9534
DIR + CEOP - 17,0.8284,0.5773,0.1571,0.0,0.0854,1.0,0.4448,0.8825,0.8028,0.0,0.2542,0.1175,0.18,1590.0,9649.0,542.0,1786.0,1590.0,5804.0,542.0,1274.0,0.0,3845.0,0.0,512.0,0.6365,0.0,0.2315,0.0,0.9545
DIR + ROC - 3,0.7689,0.6374,0.0909,0.2636,0.243,0.0862,0.1847,0.7562,0.7751,0.697,0.3984,0.0145,0.099,2756.0,7675.0,2572.0,564.0,2300.0,4744.0,1523.0,521.0,456.0,2931.0,1049.0,43.0,0.6924,0.4551,0.4207,0.336,0.9277
DIR + ROC - 11,0.7789,0.6416,0.0988,0.2603,0.2039,0.0819,0.2295,0.7603,0.788,0.6847,0.3655,0.0142,0.1169,2684.0,7884.0,2298.0,701.0,2213.0,4977.0,1275.0,659.0,471.0,2907.0,1023.0,42.0,0.6959,0.4694,0.3823,0.3363,0.9229
