Adult,Accuracy,Theil Index,Consistency,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score,F1 Score - Privileged,F1 Score - Unprivileged,Base Rate - Privileged,Base Rate - Unprivileged
RW + EGR + CEOP,0.8171,0.1808,0.8384,0.0029,0.0559,0.9942,0.558,0.8779,0.7887,0.7857,0.2202,0.1199,0.2094,1267,9819,368,2113,1264,6024,357,1596,3,3795,11,517,0.5053,0.5642,0.0112,0.2473,0.2473
RW + EGR + ROC,0.8201,0.1514,0.8384,0.1006,0.0647,0.3,0.5206,0.8754,0.7942,0.5127,0.2315,0.0436,0.1997,1735,9391,796,1645,1371,5968,413,1489,364,3423,383,156,0.587,0.5904,0.5746,0.2473,0.2473
RW + EGR + EOP,0.8137,0.1677,0.8384,0.0644,0.0639,0.5577,0.5542,0.8763,0.7843,0.5158,0.2424,0.0753,0.2097,1505,9534,653,1875,1275,5973,408,1585,230,3561,245,290,0.5435,0.5613,0.4623,0.2473,0.2473
RW + GSR + CEOP,0.75,0.13,0.8384,0,0.3615,1,0.1976,0.8798,0.6892,0,0.5013,0.1202,0.1218,2295,7880,2307,1085,2295,4074,2307,565,0,3806,0,520,0.575,0.6151,0,0.2473,0.2473
RW + GSR + ROC,0.7186,0.122,0.8384,0.3142,0.2675,0.1577,0.2913,0.7046,0.7251,0.7319,0.4572,0.0305,0.1513,2465,7284,2903,915,2027,4674,1707,833,438,2610,1196,82,0.5636,0.6148,0.4067,0.2473,0.2473
RW + GSR + EOP,0.7273,0.2348,0.8384,0.1193,0.1204,0.7288,0.7339,0.8074,0.6898,0.763,0.5023,0.1016,0.2722,902,8965,1222,2478,761,5613,768,2099,141,3352,454,379,0.3278,0.3468,0.2529,0.2473,0.2473
RW + PR + CEOP,0.8104,0.1654,0.8384,0,0.1178,1,0.4545,0.8798,0.7779,0,0.3253,0.1202,0.1876,1560,9435,752,1820,1560,5629,752,1300,0,3806,0,520,0.5481,0.6032,0,0.2473,0.2473
RW + PR + ROC,0.7635,0.1211,0.8384,0.2401,0.2048,0.1596,0.3164,0.7695,0.7606,0.6765,0.4007,0.0279,0.1514,2392,7966,2221,988,1955,5074,1307,905,437,2892,914,83,0.5985,0.6387,0.4671,0.2473,0.2473
RW + PR + EOP,0.7855,0.1913,0.8384,0.0807,0.079,0.6231,0.6206,0.8541,0.7534,0.6103,0.3172,0.0848,0.232,1281,9376,811,2099,1085,5877,504,1775,196,3499,307,324,0.4682,0.4878,0.3832,0.2473,0.2473
DIR + EGR + CEOP,0.8202,0.1752,0.8384,0.0139,0.0549,0.9327,0.5427,0.8756,0.7942,0.6023,0.2111,0.1144,0.2047,1343,9784,403,2037,1308,6031,350,1552,35,3753,53,485,0.524,0.579,0.1151,0.3138,0.1108
DIR + EGR + ROC,0.8176,0.1437,0.8384,0.1306,0.0735,0.2365,0.4846,0.8567,0.7993,0.5559,0.2414,0.0358,0.1899,1871,9221,966,1509,1474,5912,469,1386,397,3309,497,123,0.6019,0.6138,0.5615,0.3138,0.1108
DIR + EGR + EOP,0.8064,0.1656,0.8384,0.0817,0.0804,0.5442,0.5311,0.8627,0.7801,0.5675,0.2767,0.0749,0.2056,1578,9363,824,1802,1341,5868,513,1519,237,3495,311,283,0.5458,0.5689,0.4438,0.3138,0.1108
DIR + GSR + CEOP,0.7305,0.1173,0.8384,0,0.4368,1,0.122,0.8798,0.6606,0,0.526,0.1202,0.0885,2511,7400,2787,869,2511,3594,2787,349,0,3806,0,520,0.5787,0.6156,0,0.3138,0.1108
DIR + GSR + ROC,0.6916,0.1112,0.8384,0.3802,0.3141,0.1192,0.2346,0.6512,0.7105,0.7596,0.4779,0.0256,0.1329,2647,6736,3451,733,2189,4377,2004,671,458,2359,1447,62,0.5586,0.6207,0.3777,0.3138,0.1108
DIR + GSR + EOP,0.7341,0.2672,0.8384,0.0628,0.0625,0.8846,0.8773,0.8384,0.6853,0.7993,0.532,0.1142,0.2955,411,9549,638,2969,351,5982,399,2509,60,3567,239,460,0.1856,0.1945,0.1465,0.3138,0.1108
DIR + PR + CEOP,0.81,0.1698,0.8384,0,0.108,1,0.4787,0.8798,0.7773,0,0.3161,0.1202,0.1939,1491,9498,689,1889,1491,5692,689,1369,0,3806,0,520,0.5363,0.5917,0,0.3138,0.1108
DIR + PR + ROC,0.7638,0.121,0.8384,0.2378,0.2055,0.1654,0.3154,0.7709,0.7605,0.6759,0.401,0.0288,0.151,2392,7971,2216,988,1958,5070,1311,902,434,2901,905,86,0.5989,0.6389,0.4669,0.3138,0.1108
DIR + PR + EOP,0.7857,0.1962,0.8384,0.0728,0.0715,0.6462,0.643,0.8583,0.7517,0.6009,0.3087,0.0869,0.2369,1205,9454,733,2175,1021,5925,456,1839,184,3529,277,336,0.4532,0.4708,0.3751,0.3138,0.1108
