,Accuracy,F1 Score,Theil Index,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score - Privileged,F1 Score - Unprivileged,Privileged base Rate,Unprivileged base Rate,Consistency
OP + GFC,0.7167,0.1414,0.3274,0.0,0.011,0.9231,0.9221,0.7143,0.7171,0.0,0.25,0.2927,0.284,7.0,208.0,2.0,83.0,6.0,179.0,2.0,71.0,1.0,29.0,0.0,12.0,0.1412,0.1429,0.031,0.0238,0.998
OP + GFC + EOP,0.7167,0.1414,0.3274,0.0,0.011,0.9231,0.9221,0.7143,0.7171,0.0,0.25,0.2927,0.284,7.0,208.0,2.0,83.0,6.0,179.0,2.0,71.0,1.0,29.0,0.0,12.0,0.1412,0.1429,0.031,0.0238,0.9673
OP + GFC + CEOP,0.0567,0.0,0.3688,1.0,0.9061,1.0,1.0,0.0,0.0659,1.0,1.0,1.0,0.8191,0.0,17.0,193.0,90.0,0.0,17.0,164.0,77.0,0.0,0.0,29.0,13.0,0.0,0.0,0.6357,0.6905,0.6067
OP + GFC + ROC,0.0,0.0,0.3567,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,210.0,90.0,0.0,0.0,181.0,77.0,0.0,0.0,29.0,13.0,0.0,0.0,0.7016,0.6905,0.6487
OP + PR,0.7033,0.1524,0.3308,0.1724,0.011,0.8462,0.9221,0.619,0.7171,0.7143,0.25,0.3143,0.284,8.0,203.0,7.0,82.0,6.0,179.0,2.0,71.0,2.0,24.0,5.0,11.0,0.1412,0.2,0.031,0.1667,0.988
OP + PR + EOP,0.5867,0.3187,0.2825,0.3793,0.2873,0.9231,0.6364,0.4524,0.6085,0.9167,0.65,0.4,0.2753,29.0,147.0,63.0,61.0,28.0,129.0,52.0,49.0,1.0,18.0,11.0,12.0,0.3567,0.08,0.3101,0.2857,0.656
OP + PR + CEOP,0.69,0.0412,0.3558,0.1724,0.0,0.8462,1.0,0.619,0.7016,0.7143,0.0,0.3143,0.2984,2.0,205.0,5.0,88.0,0.0,181.0,0.0,77.0,2.0,24.0,5.0,11.0,0.0,0.2,0.0,0.1667,0.9853
OP + PR + ROC,0.3233,0.4672,0.0461,1.0,0.9558,0.0,0.013,0.3095,0.3256,0.6905,0.6948,0.0,0.1111,89.0,8.0,202.0,1.0,76.0,8.0,173.0,1.0,13.0,0.0,29.0,0.0,0.4663,0.4727,0.9651,1.0,0.9953
OP + EGR,0.7,0.2241,0.3163,0.0345,0.0663,0.9231,0.8442,0.6905,0.7016,0.5,0.5,0.3,0.2778,13.0,197.0,13.0,77.0,12.0,169.0,12.0,65.0,1.0,28.0,1.0,12.0,0.2376,0.1333,0.093,0.0476,0.954
OP + EGR + EOP,0.6967,0.2222,0.3176,0.069,0.0663,0.9231,0.8442,0.6667,0.7016,0.6667,0.5,0.3077,0.2778,13.0,196.0,14.0,77.0,12.0,169.0,12.0,65.0,1.0,27.0,2.0,12.0,0.2376,0.125,0.093,0.0714,0.9493
OP + EGR + CEOP,0.7,0.0,0.3567,0.0,0.0,1.0,1.0,0.6905,0.7016,0.0,0.0,0.3095,0.2984,0.0,210.0,0.0,90.0,0.0,181.0,0.0,77.0,0.0,29.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0
OP + EGR + ROC,0.7067,0.0833,0.3413,0.0,0.011,1.0,0.9481,0.6905,0.7093,0.0,0.3333,0.3095,0.2897,4.0,208.0,2.0,86.0,4.0,179.0,2.0,73.0,0.0,29.0,0.0,13.0,0.0964,0.0,0.0233,0.0,0.9933
OP + GSR,0.7033,0.2261,0.315,0.0,0.0663,1.0,0.8312,0.6905,0.7054,0.0,0.48,0.3095,0.2747,13.0,198.0,12.0,77.0,13.0,169.0,12.0,64.0,0.0,29.0,0.0,13.0,0.2549,0.0,0.0969,0.0,0.9973
OP + GSR + EOP,0.44,0.3,0.2567,0.5517,0.5414,0.6154,0.5974,0.4286,0.4419,0.7619,0.7597,0.381,0.3566,36.0,96.0,114.0,54.0,31.0,83.0,98.0,46.0,5.0,13.0,16.0,8.0,0.301,0.2941,0.5,0.5,0.5587
OP + GSR + CEOP,0.7033,0.2261,0.315,0.0,0.0663,1.0,0.8312,0.6905,0.7054,0.0,0.48,0.3095,0.2747,13.0,198.0,12.0,77.0,13.0,169.0,12.0,64.0,0.0,29.0,0.0,13.0,0.2549,0.0,0.0969,0.0,0.9973
OP + GSR + ROC,0.58,0.5078,0.1466,0.5862,0.4641,0.0769,0.3117,0.5714,0.5814,0.5862,0.6131,0.0769,0.1983,65.0,109.0,101.0,25.0,53.0,97.0,84.0,24.0,12.0,12.0,17.0,1.0,0.4953,0.5714,0.531,0.6905,0.96
DIR,0.6967,0.2353,0.3143,0.4483,0.011,0.2308,0.9481,0.619,0.7093,0.5652,0.3333,0.1579,0.2897,14.0,195.0,15.0,76.0,4.0,179.0,2.0,73.0,10.0,16.0,13.0,3.0,0.0964,0.5556,0.0233,0.5476,0.984
DIR + EOP,0.6833,0.1121,0.346,0.069,0.0497,1.0,0.9221,0.6429,0.6899,1.0,0.6,0.325,0.2922,6.0,199.0,11.0,84.0,6.0,172.0,9.0,71.0,0.0,27.0,2.0,13.0,0.1304,0.0,0.0581,0.0476,0.9227
DIR + CEOP,0.69,0.177,0.3301,0.4483,0.0,0.2308,1.0,0.619,0.7016,0.5652,0.0,0.1579,0.2984,10.0,197.0,13.0,80.0,0.0,181.0,0.0,77.0,10.0,16.0,13.0,3.0,0.0,0.5556,0.0,0.5476,0.9853
DIR + ROC,0.31,0.4623,0.0447,1.0,0.9779,0.0,0.013,0.3095,0.3101,0.6905,0.6996,0.0,0.2,89.0,4.0,206.0,1.0,76.0,4.0,177.0,1.0,13.0,0.0,29.0,0.0,0.4606,0.4727,0.9806,1.0,0.992
DIR + GFC,0.38,0.4775,0.0655,0.931,0.8508,0.0769,0.0519,0.3333,0.3876,0.6923,0.6784,0.3333,0.129,85.0,29.0,181.0,5.0,73.0,27.0,154.0,4.0,12.0,2.0,27.0,1.0,0.4803,0.4615,0.8798,0.9286,0.99
DIR + GFC + EOP,0.3133,0.4635,0.0451,0.931,0.9834,0.0769,0.0,0.3333,0.3101,0.6923,0.698,0.3333,0.0,89.0,5.0,205.0,1.0,77.0,3.0,178.0,0.0,12.0,2.0,27.0,1.0,0.4639,0.4615,0.9884,0.9286,0.9747
DIR + GFC + CEOP,0.0,0.0,0.3567,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,210.0,90.0,0.0,0.0,181.0,77.0,0.0,0.0,29.0,13.0,0.0,0.0,0.7016,0.6905,0.6487
DIR + GFC + ROC,0.0,0.0,0.3567,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,210.0,90.0,0.0,0.0,181.0,77.0,0.0,0.0,29.0,13.0,0.0,0.0,0.7016,0.6905,0.6487
DIR + PR,0.6867,0.0408,0.3574,0.2069,0.0,0.8462,1.0,0.5952,0.7016,0.75,0.0,0.3235,0.2984,2.0,204.0,6.0,88.0,0.0,181.0,0.0,77.0,2.0,23.0,6.0,11.0,0.0,0.1905,0.0,0.1905,0.986
DIR + PR + EOP,0.56,0.2747,0.3009,0.3103,0.3204,0.7692,0.7143,0.5476,0.562,0.75,0.725,0.3333,0.309,25.0,143.0,67.0,65.0,22.0,123.0,58.0,55.0,3.0,20.0,9.0,10.0,0.2803,0.24,0.3101,0.2857,0.65
DIR + PR + CEOP,0.6867,0.0408,0.3574,0.2069,0.0,0.8462,1.0,0.5952,0.7016,0.75,0.0,0.3235,0.2984,2.0,204.0,6.0,88.0,0.0,181.0,0.0,77.0,2.0,23.0,6.0,11.0,0.0,0.1905,0.0,0.1905,0.986
DIR + PR + ROC,0.3233,0.4672,0.0461,1.0,0.9558,0.0,0.013,0.3095,0.3256,0.6905,0.6948,0.0,0.1111,89.0,8.0,202.0,1.0,76.0,8.0,173.0,1.0,13.0,0.0,29.0,0.0,0.4663,0.4727,0.9651,1.0,0.9953
DIR + EGR,0.7067,0.0833,0.3413,0.0,0.011,1.0,0.9481,0.6905,0.7093,0.0,0.3333,0.3095,0.2897,4.0,208.0,2.0,86.0,4.0,179.0,2.0,73.0,0.0,29.0,0.0,13.0,0.0964,0.0,0.0233,0.0,0.9933
DIR + EGR + EOP,0.7067,0.102,0.3384,0.0345,0.011,0.9231,0.9481,0.6905,0.7093,0.5,0.3333,0.3,0.2897,5.0,207.0,3.0,85.0,4.0,179.0,2.0,73.0,1.0,28.0,1.0,12.0,0.0964,0.1333,0.0233,0.0476,0.9813
DIR + EGR + CEOP,0.7,0.0,0.3567,0.0,0.0,1.0,1.0,0.6905,0.7016,0.0,0.0,0.3095,0.2984,0.0,210.0,0.0,90.0,0.0,181.0,0.0,77.0,0.0,29.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0
DIR + EGR + ROC,0.7067,0.0833,0.3413,0.0,0.011,1.0,0.9481,0.6905,0.7093,0.0,0.3333,0.3095,0.2897,4.0,208.0,2.0,86.0,4.0,179.0,2.0,73.0,0.0,29.0,0.0,13.0,0.0964,0.0,0.0233,0.0,0.9933
DIR + GSR,0.7067,0.0833,0.3413,0.0,0.011,1.0,0.9481,0.6905,0.7093,0.0,0.3333,0.3095,0.2897,4.0,208.0,2.0,86.0,4.0,179.0,2.0,73.0,0.0,29.0,0.0,13.0,0.0964,0.0,0.0233,0.0,0.9933
DIR + GSR + EOP,0.4633,0.332,0.2412,0.5517,0.5249,0.6154,0.5455,0.4286,0.469,0.7619,0.7308,0.381,0.3281,40.0,99.0,111.0,50.0,35.0,86.0,95.0,42.0,5.0,13.0,16.0,8.0,0.3382,0.2941,0.5039,0.5,0.5387
DIR + GSR + CEOP,0.7,0.0,0.3567,0.0,0.0,1.0,1.0,0.6905,0.7016,0.0,0.0,0.3095,0.2984,0.0,210.0,0.0,90.0,0.0,181.0,0.0,77.0,0.0,29.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0
DIR + GSR + ROC,0.5667,0.5113,0.1358,0.5862,0.5028,0.0769,0.2727,0.5714,0.5659,0.5862,0.619,0.0769,0.1892,68.0,102.0,108.0,22.0,56.0,90.0,91.0,21.0,12.0,12.0,17.0,1.0,0.5,0.5714,0.5698,0.6905,0.9647
