Bank,Accuracy,Theil Index,Consistency,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score,F1 Score - Privileged,F1 Score - Unprivileged,Base Rate - Privileged,Base Rate - Unprivileged
RW + EGR + EOP,0.8965,0.0918,0.8966,0.0305,0.0283,0.6494,0.6321,0.7956,0.8996,0.1818,0.3617,0.2075,0.0811,417,7783,227,720,390,7592,221,670,27,191,6,50,0.4683,0.4668,0.4909,0.1275,0.1275
RW + GSR + CEOP,0.8783,0.1295,0.8966,0.0152,0,0.6494,1,0.8066,0.8805,0.1,0,0.2049,0.1195,27,8007,3,1110,0,7813,0,1060,27,194,3,50,0.0463,0,0.5047,0.1275,0.1275
RW + GSR + ROC,0.8813,0.0654,0.8966,0.0761,0.0927,0.4286,0.2962,0.8248,0.883,0.2542,0.4925,0.1535,0.0424,790,7271,739,347,746,7089,724,314,44,182,15,33,0.5926,0.5897,0.6471,0.1275,0.1275
RW + GSR + EOP,0.8968,0.092,0.8966,0.0254,0.0275,0.6364,0.6368,0.8029,0.8997,0.1515,0.3583,0.2033,0.0816,413,7790,220,724,385,7598,215,675,28,192,5,49,0.4667,0.4639,0.5091,0.1275,0.1275
RW + PR + CEOP,0.8778,0.1293,0.8966,0.0711,0,0.5714,1,0.7883,0.8805,0.2979,0,0.1938,0.1195,33,7996,14,1104,0,7813,0,1060,33,183,14,44,0.0557,0,0.5323,0.1275,0.1275
RW + PR + ROC,0.8938,0.1036,0.8966,0.0203,0.014,0.7662,0.7538,0.7701,0.8977,0.1818,0.2946,0.2341,0.094,279,7897,113,858,261,7704,109,799,18,193,4,59,0.3649,0.365,0.3636,0.1275,0.1275
RW + PR + EOP,0.8675,0.0953,0.8966,0.0711,0.0707,0.5714,0.5679,0.7883,0.8699,0.2979,0.5465,0.1938,0.0766,491,7444,566,646,458,7261,552,602,33,183,14,44,0.4476,0.4425,0.5323,0.1275,0.1275
DIR + EGR + CEOP,0.8765,0.1319,0.8966,0,0,0.9091,1,0.7445,0.8805,0,0,0.2622,0.1195,7,8010,0,1130,0,7813,0,1060,7,197,0,70,0.0122,0,0.1667,0.1253,0.2068
DIR + EGR + ROC,0.8928,0.1074,0.8966,0.0051,0.0101,0.7662,0.7943,0.781,0.8962,0.0526,0.266,0.2314,0.0982,236,7930,80,901,218,7734,79,842,18,196,1,59,0.3248,0.3213,0.375,0.1253,0.2068
DIR + EGR + EOP,0.8827,0.1218,0.8966,0,0.005,0.8961,0.9104,0.7482,0.8868,0,0.291,0.2594,0.1104,103,7971,39,1034,95,7774,39,965,8,197,0,69,0.1611,0.1591,0.1882,0.1253,0.2068
DIR + GSR + CEOP,0.8774,0.1307,0.8966,0,0,0.7922,1,0.7774,0.8805,0,0,0.2364,0.1195,16,8010,0,1121,0,7813,0,1060,16,197,0,61,0.0278,0,0.3441,0.1253,0.2068
DIR + GSR + ROC,0.8928,0.1061,0.8966,0.0102,0.0122,0.7273,0.7811,0.7883,0.896,0.087,0.2905,0.2231,0.0969,253,7913,97,884,232,7718,95,828,21,195,2,56,0.3403,0.3345,0.42,0.1253,0.2068
DIR + GSR + EOP,0.8924,0.1085,0.8966,0,0.009,0.7792,0.8057,0.781,0.8959,0,0.2536,0.2335,0.0993,223,7940,70,914,206,7743,70,854,17,197,0,60,0.3119,0.3084,0.3617,0.1253,0.2068
DIR + PR + CEOP,0.8776,0.1304,0.8966,0.0152,0,0.7403,1,0.781,0.8805,0.1304,0,0.2271,0.1195,20,8007,3,1117,0,7813,0,1060,20,194,3,57,0.0345,0,0.4,0.1253,0.2068
DIR + PR + ROC,0.8928,0.1057,0.8966,0.0152,0.0125,0.7273,0.7774,0.7847,0.8961,0.125,0.2934,0.224,0.0965,257,7909,101,880,236,7715,98,824,21,194,3,56,0.3438,0.3386,0.4158,0.1253,0.2068
DIR + PR + EOP,0.8921,0.1063,0.8966,0.0152,0.0128,0.7792,0.7774,0.7701,0.8959,0.15,0.2976,0.2362,0.0965,253,7907,103,884,236,7713,100,824,17,194,3,60,0.3389,0.3381,0.3505,0.1253,0.2068
